sentence,group,step,stl_formula,label,cosine_sim
"In the first week, RANTES in the mild group (638.62 ± 174.81 pg/mL) was much higher than that in healthy controls (358.36 ± 123.44 pg/mL, P = 1.0 × 10–6) and remained high in mild cases during their recovery phase (630.57 ± 171.00 pg/mL in week 3 and 654.14 ± 162.86 pg/mL in week 4).",1,raw,"globally[0,7](rantes(t) > c(high)) and globally[14,28](rantes(t) > c(high))",,0.518140
"In the first week, RANTES in the mild group (638.62 ± 174.81 pg/mL) was much higher than that in healthy controls (358.36 ± 123.44 pg/mL, P = 1.0 × 10–6) and remained high in mild cases during their recovery phase (630.57 ± 171.00 pg/mL in week 3 and 654.14 ± 162.86 pg/mL in week 4).",1,raw,"globally[0,7](rantes(t) > c(mid)) and globally[14,28](rantes(t) = c(high))",,0.590895
"In the first week, RANTES in the mild group (638.62 ± 174.81 pg/mL) was much higher than that in healthy controls (358.36 ± 123.44 pg/mL, P = 1.0 × 10–6) and remained high in mild cases during their recovery phase (630.57 ± 171.00 pg/mL in week 3 and 654.14 ± 162.86 pg/mL in week 4).",1,raw,"globally[0,7](rantes(t) = c(high)) and globally[14,28](rantes(t) = c(high))",,0.522531
"In the first week, RANTES in the mild group (638.62 ± 174.81 pg/mL) was much higher than that in healthy controls (358.36 ± 123.44 pg/mL, P = 1.0 × 10–6) and remained high in mild cases during their recovery phase (630.57 ± 171.00 pg/mL in week 3 and 654.14 ± 162.86 pg/mL in week 4).",1,raw,"globally[0,7](rantes(t) > c(high)) and globally[14,28](rantes(t) > c(high))",,0.518140
"In the first week, RANTES in the mild group (638.62 ± 174.81 pg/mL) was much higher than that in healthy controls (358.36 ± 123.44 pg/mL, P = 1.0 × 10–6) and remained high in mild cases during their recovery phase (630.57 ± 171.00 pg/mL in week 3 and 654.14 ± 162.86 pg/mL in week 4).",1,raw,"globally[0,7](rantes(t) > c(high)) and globally[14,21](rantes(t) > c(high)) and globally[21,28](rantes(t) > c(high))",,0.527402
"In the first week, RANTES in the mild group (638.62 ± 174.81 pg/mL) was much higher than that in healthy controls (358.36 ± 123.44 pg/mL, P = 1.0 × 10–6) and remained high in mild cases during their recovery phase (630.57 ± 171.00 pg/mL in week 3 and 654.14 ± 162.86 pg/mL in week 4).",1,raw,"globally[0,7](rantes(t) > c(high)) and globally[14,28](rantes(t) > c(high))",,0.518140
"In the first week, RANTES in the mild group (638.62 ± 174.81 pg/mL) was much higher than that in healthy controls (358.36 ± 123.44 pg/mL, P = 1.0 × 10–6) and remained high in mild cases during their recovery phase (630.57 ± 171.00 pg/mL in week 3 and 654.14 ± 162.86 pg/mL in week 4).",1,raw,"globally[0,7](rantes(t) > c(high)) and globally[14,28](rantes(t) > c(high))",,0.518140
"In the first week, RANTES in the mild group (638.62 ± 174.81 pg/mL) was much higher than that in healthy controls (358.36 ± 123.44 pg/mL, P = 1.0 × 10–6) and remained high in mild cases during their recovery phase (630.57 ± 171.00 pg/mL in week 3 and 654.14 ± 162.86 pg/mL in week 4).",1,raw,"globally[0,7](rantes(t) > c(high)) and globally[14,28](rantes(t) > c(high))",,0.518140
"In the first week, RANTES in the mild group (638.62 ± 174.81 pg/mL) was much higher than that in healthy controls (358.36 ± 123.44 pg/mL, P = 1.0 × 10–6) and remained high in mild cases during their recovery phase (630.57 ± 171.00 pg/mL in week 3 and 654.14 ± 162.86 pg/mL in week 4).",1,raw,"globally[0,7](rantes(t) = c(high)) and globally[14,28](rantes(t) = c(high))",,0.522531
"In the first week, RANTES in the mild group (638.62 ± 174.81 pg/mL) was much higher than that in healthy controls (358.36 ± 123.44 pg/mL, P = 1.0 × 10–6) and remained high in mild cases during their recovery phase (630.57 ± 171.00 pg/mL in week 3 and 654.14 ± 162.86 pg/mL in week 4).",1,raw,"globally[0,7](rantes(t) > c(high)) and globally[14,28](rantes(t) > c(high))",,0.518140
"In the first week, RANTES in the mild group (638.62 ± 174.81 pg/mL) was much higher than that in healthy controls (358.36 ± 123.44 pg/mL, P = 1.0 × 10–6) and remained high in mild cases during their recovery phase (630.57 ± 171.00 pg/mL in week 3 and 654.14 ± 162.86 pg/mL in week 4).",1,raw,"globally[0,7](rantes(t) = c(high)) and globally[14,28](rantes(t) = c(high))",,0.522531
"In the first week, RANTES in the mild group (638.62 ± 174.81 pg/mL) was much higher than that in healthy controls (358.36 ± 123.44 pg/mL, P = 1.0 × 10–6) and remained high in mild cases during their recovery phase (630.57 ± 171.00 pg/mL in week 3 and 654.14 ± 162.86 pg/mL in week 4).",1,consolidated,"globally[14,21](rantes(t) > c(high))",1,0.494397
"In the first week, RANTES in the mild group (638.62 ± 174.81 pg/mL) was much higher than that in healthy controls (358.36 ± 123.44 pg/mL, P = 1.0 × 10–6) and remained high in mild cases during their recovery phase (630.57 ± 171.00 pg/mL in week 3 and 654.14 ± 162.86 pg/mL in week 4).",1,consolidated,"globally[21,28](rantes(t) > c(high))",1,0.499830
"In the first week, RANTES in the mild group (638.62 ± 174.81 pg/mL) was much higher than that in healthy controls (358.36 ± 123.44 pg/mL, P = 1.0 × 10–6) and remained high in mild cases during their recovery phase (630.57 ± 171.00 pg/mL in week 3 and 654.14 ± 162.86 pg/mL in week 4).",1,consolidated,"globally[0,7](rantes(t) > c(mid))",1,0.547399
"In the first week, RANTES in the mild group (638.62 ± 174.81 pg/mL) was much higher than that in healthy controls (358.36 ± 123.44 pg/mL, P = 1.0 × 10–6) and remained high in mild cases during their recovery phase (630.57 ± 171.00 pg/mL in week 3 and 654.14 ± 162.86 pg/mL in week 4).",1,consolidated,"globally[14,28](rantes(t) = c(high))",1,0.482981
"No elevation of RANTES was observed in the severe group during the disease progression, suggesting that RANTES may play an important role in protecting COVID-19 patients from developing severe illness (Supplemental Table 1 and Figure 5A).",1,raw,"globally[0,inf](d_rantes(t) = 0)",,0.413245
"No elevation of RANTES was observed in the severe group during the disease progression, suggesting that RANTES may play an important role in protecting COVID-19 patients from developing severe illness (Supplemental Table 1 and Figure 5A).",1,raw,"globally[0,inf](d_rantes(t) < d_c(low))",,0.354132
"No elevation of RANTES was observed in the severe group during the disease progression, suggesting that RANTES may play an important role in protecting COVID-19 patients from developing severe illness (Supplemental Table 1 and Figure 5A).",1,raw,"globally[0, inf](d_rantes(t) = 0)",,0.413245
"No elevation of RANTES was observed in the severe group during the disease progression, suggesting that RANTES may play an important role in protecting COVID-19 patients from developing severe illness (Supplemental Table 1 and Figure 5A).",1,raw,"globally[0,inf](d_rantes(t) < d_c(low))",,0.354132
"No elevation of RANTES was observed in the severe group during the disease progression, suggesting that RANTES may play an important role in protecting COVID-19 patients from developing severe illness (Supplemental Table 1 and Figure 5A).",1,raw,"globally[0,inf](d_rantes(t) = 0)",,0.413245
"No elevation of RANTES was observed in the severe group during the disease progression, suggesting that RANTES may play an important role in protecting COVID-19 patients from developing severe illness (Supplemental Table 1 and Figure 5A).",1,raw,"globally[0,inf](d_rantes(t) = 0)",,0.413245
"No elevation of RANTES was observed in the severe group during the disease progression, suggesting that RANTES may play an important role in protecting COVID-19 patients from developing severe illness (Supplemental Table 1 and Figure 5A).",1,consolidated,"globally[0, inf](d_rantes(t) = 0)",1,0.413245
"We found that IL-6 (P<0.0001), IL-8 (P<0.0001) and TNF-α (P<0.0001) were significantly elevated in COVID-19 serum compared to healthy donor serum or plasma isolated from CAR T cell-treated patients with no CRS (Fig. 1).",1,raw,il6(t) > c(mid) and il8(t) > c(mid) and tnfα(t) > c(mid),,0.575513
"We found that IL-6 (P<0.0001), IL-8 (P<0.0001) and TNF-α (P<0.0001) were significantly elevated in COVID-19 serum compared to healthy donor serum or plasma isolated from CAR T cell-treated patients with no CRS (Fig. 1).",1,raw,il6(t) > c(high) and il8(t) > c(high) and tnfα(t) > c(high),,0.550789
"We found that IL-6 (P<0.0001), IL-8 (P<0.0001) and TNF-α (P<0.0001) were significantly elevated in COVID-19 serum compared to healthy donor serum or plasma isolated from CAR T cell-treated patients with no CRS (Fig. 1).",1,raw,il6(t) > c(low) and il8(t) > c(low) and tnfα(t) > c(low),,0.556188
"We found that IL-6 (P<0.0001), IL-8 (P<0.0001) and TNF-α (P<0.0001) were significantly elevated in COVID-19 serum compared to healthy donor serum or plasma isolated from CAR T cell-treated patients with no CRS (Fig. 1).",1,consolidated,il6(t) > c(mid),1,0.365350
"We found that IL-6 (P<0.0001), IL-8 (P<0.0001) and TNF-α (P<0.0001) were significantly elevated in COVID-19 serum compared to healthy donor serum or plasma isolated from CAR T cell-treated patients with no CRS (Fig. 1).",1,consolidated,il8(t) > c(mid),1,0.299193
"We found that IL-6 (P<0.0001), IL-8 (P<0.0001) and TNF-α (P<0.0001) were significantly elevated in COVID-19 serum compared to healthy donor serum or plasma isolated from CAR T cell-treated patients with no CRS (Fig. 1).",1,consolidated,tnfα(t) > c(mid),1,0.476133
"In line with previous reports, IL-1β levels were mostly low or at the limit of detection of 0.1pg ml−1, even though the assay was able to detect various levels of recombinant control cytokines (Extended Data Fig. 1b).",0,raw,"globally[0,inf](il1β(t) = c(low))",,0.705361
"In line with previous reports, IL-1β levels were mostly low or at the limit of detection of 0.1pg ml−1, even though the assay was able to detect various levels of recombinant control cytokines (Extended Data Fig. 1b).",0,raw,"globally[0,inf](il1β(t) < c(low))",,0.684032
"In line with previous reports, IL-1β levels were mostly low or at the limit of detection of 0.1pg ml−1, even though the assay was able to detect various levels of recombinant control cytokines (Extended Data Fig. 1b).",0,consolidated,"globally[0,inf](il1β(t) = c(low))",1,0.705361
"While specific IgG were never detected in fatally-infected patients, high levels of Ebola virus-specific IgG were found in survivors as soon as the symptoms appeared.",0,raw,"globally[0,inf](igg(t) < c(low)) and eventually[0,inf]globally(igg(t) > c(high))",,0.324337
"While specific IgG were never detected in fatally-infected patients, high levels of Ebola virus-specific IgG were found in survivors as soon as the symptoms appeared.",0,raw,"globally[0, inf](igg(t) < c(low)) and eventually[0, inf]globally(igg(t) > c(high))",,0.324337
"While specific IgG were never detected in fatally-infected patients, high levels of Ebola virus-specific IgG were found in survivors as soon as the symptoms appeared.",0,raw,"globally[0,inf](igg(t) < c(low)) and globally[0,inf](igg(t) > c(high))",,0.301180
"While specific IgG were never detected in fatally-infected patients, high levels of Ebola virus-specific IgG were found in survivors as soon as the symptoms appeared.",0,raw,"globally[0,inf](igg(t) < c(low)) and eventually[0,inf]globally(igg(t) = c(high))",,0.351025
"While specific IgG were never detected in fatally-infected patients, high levels of Ebola virus-specific IgG were found in survivors as soon as the symptoms appeared.",0,raw,"globally[0,inf](igg(t) < c(low)) and eventually[0,inf]globally(igg(t) > c(high))",,0.324337
"While specific IgG were never detected in fatally-infected patients, high levels of Ebola virus-specific IgG were found in survivors as soon as the symptoms appeared.",0,raw,"globally[0,inf](igg(t) < c(low)) and globally[0,inf](igg(t) > c(high))",,0.301180
"While specific IgG were never detected in fatally-infected patients, high levels of Ebola virus-specific IgG were found in survivors as soon as the symptoms appeared.",0,consolidated,"globally[0, inf](igg(t) < c(low))",1,0.400506
"While specific IgG were never detected in fatally-infected patients, high levels of Ebola virus-specific IgG were found in survivors as soon as the symptoms appeared.",0,consolidated,"eventually[0, inf]globally(igg(t) > c(high))",1,0.406283
"While specific IgG were never detected in fatally-infected patients, high levels of Ebola virus-specific IgG were found in survivors as soon as the symptoms appeared.",0,consolidated,"eventually[0,inf]globally(igg(t) = c(high))",1,0.417260
"Finally, IL-10 was barely detectable in survivors, while high and significant levels were found in all patients who died.",1,raw,il10(t) < c(low) implies il10(t) > c(high),,0.602043
"Finally, IL-10 was barely detectable in survivors, while high and significant levels were found in all patients who died.",1,raw,"eventually[0,inf]globally(il10(t) < c(low)) and eventually[0,inf]globally(il10(t) > c(high))",,0.474422
"Finally, IL-10 was barely detectable in survivors, while high and significant levels were found in all patients who died.",1,raw,"eventually[0, inf]globally(il1rn(t) < c(low)) and eventually[0, inf]globally(il1rn(t) > c(high))",,0.271668
"Finally, IL-10 was barely detectable in survivors, while high and significant levels were found in all patients who died.",1,raw,"eventually[0,inf]globally(il10(t) < c(low)) and eventually[0,inf]globally(il10(t) > c(high))",,0.474422
"Finally, IL-10 was barely detectable in survivors, while high and significant levels were found in all patients who died.",1,raw,"eventually[0,inf]globally(il10(t) < c(low) and il10(t) = c(high))",,0.580895
"Finally, IL-10 was barely detectable in survivors, while high and significant levels were found in all patients who died.",1,raw,"eventually[0,inf]globally(il10(t) < c(low)) and eventually[0,inf]globally(il10(t) > c(high))",,0.474422
"Finally, IL-10 was barely detectable in survivors, while high and significant levels were found in all patients who died.",1,raw,"eventually[0,inf]globally(il10(t) < c(low)) and eventually[0,inf]globally(il10(t) > c(high))",,0.474422
"Finally, IL-10 was barely detectable in survivors, while high and significant levels were found in all patients who died.",1,raw,"eventually[0,inf]globally(il10(t) < c(low)) and eventually[0,inf]globally(il10(t) > c(high))",,0.474422
"Finally, IL-10 was barely detectable in survivors, while high and significant levels were found in all patients who died.",1,consolidated,il10(t) < c(low) implies il10(t) > c(high),0,0.602043
"In fatalities, neopterin plasma concentrations increased markedly during the 5 days before death, and were significantly higher than those measured in survivors.",1,raw,"globally[0,5](d_neopterin(t) > d_c(high) and neopterin(t) > c(high))",,0.647377
"In fatalities, neopterin plasma concentrations increased markedly during the 5 days before death, and were significantly higher than those measured in survivors.",1,raw,"globally[0,5](d_neopterin(t) > d_c(high) and neopterin(t) > c(high))",,0.647377
"In fatalities, neopterin plasma concentrations increased markedly during the 5 days before death, and were significantly higher than those measured in survivors.",1,raw,"globally[0,5](d_neopterin(t) > d_c(high) and neopterin(t) > c(high))",,0.647377
"In fatalities, neopterin plasma concentrations increased markedly during the 5 days before death, and were significantly higher than those measured in survivors.",1,raw,"globally[0,5](d_neopterin(t) = d_c(high) and neopterin(t) > c(high))",,0.665438
"In fatalities, neopterin plasma concentrations increased markedly during the 5 days before death, and were significantly higher than those measured in survivors.",1,raw,"globally[0,5](d_neopterin(t) = d_c(high) and neopterin(t) > c(high))",,0.665438
"In fatalities, neopterin plasma concentrations increased markedly during the 5 days before death, and were significantly higher than those measured in survivors.",1,raw,"globally[0,5](d_neopterin(t) = d_c(high) and neopterin(t) > c(high))",,0.665438
"In fatalities, neopterin plasma concentrations increased markedly during the 5 days before death, and were significantly higher than those measured in survivors.",1,consolidated,"globally[0,5](d_neopterin(t) = d_c(high) and neopterin(t) > c(high))",1,0.665438
"High levels of IL-6 and, particularly, detection of IL-1b in the plasma of patients during the symptomatic phase could represent markers of non-fatal Ebola virus infection.",0,raw,"globally[0,inf](il6(t) > c(high) and il1β(t) > c(low))",,0.544449
"High levels of IL-6 and, particularly, detection of IL-1b in the plasma of patients during the symptomatic phase could represent markers of non-fatal Ebola virus infection.",0,consolidated,"globally[0,inf](il6(t) > c(high) and il1β(t) > c(low))",1,0.544449
"We noted an increase in TNF-α converting enzyme/α-disintegrin and metalloproteinase (ADAM)-17 at days 4 to 6 after infection, peaking at an average 3.1-fold increase above baseline at day 5 after infection.",2,raw,"globally[4,6](d_adam17(t) > 0) and eventually[5,5](d_adam17(t) = 0)",,0.395150
"We noted an increase in TNF-α converting enzyme/α-disintegrin and metalloproteinase (ADAM)-17 at days 4 to 6 after infection, peaking at an average 3.1-fold increase above baseline at day 5 after infection.",2,raw,"globally[4,6](d_adam17(t) > 0) and adam17(t) > adam17(0) and eventually[5,5](d_adam17(t) = 0)",,0.387800
"We noted an increase in TNF-α converting enzyme/α-disintegrin and metalloproteinase (ADAM)-17 at days 4 to 6 after infection, peaking at an average 3.1-fold increase above baseline at day 5 after infection.",2,raw,"globally[4,6](d_adam17(t) > 0) and eventually[5,5](adam17(t) = c(high) and d_adam17(t) = 0)",,0.407975
"We noted an increase in TNF-α converting enzyme/α-disintegrin and metalloproteinase (ADAM)-17 at days 4 to 6 after infection, peaking at an average 3.1-fold increase above baseline at day 5 after infection.",2,consolidated,"globally[4,6](d_adam17(t) > 0)",1,0.463376
"We noted an increase in TNF-α converting enzyme/α-disintegrin and metalloproteinase (ADAM)-17 at days 4 to 6 after infection, peaking at an average 3.1-fold increase above baseline at day 5 after infection.",2,consolidated,"eventually[5,5](adam17(t) = c(high) and d_adam17(t) = 0)",1,0.425659
"IL-1β, which was highly induced at later stages of infection (Figure 2), was initially repressed on the first day after infection.",1,raw,"globally[0,1](il1β(t) < c(mid)) and eventually[1,inf]globally(il1β(t) > c(high))",,0.676099
"IL-1β, which was highly induced at later stages of infection (Figure 2), was initially repressed on the first day after infection.",1,raw,"globally[0,1](il1β(t) < c(low)) and eventually[1,inf](il1β(t) > c(high))",,0.667310
"IL-1β, which was highly induced at later stages of infection (Figure 2), was initially repressed on the first day after infection.",1,raw,"globally[0,1](il1β(t) < c(low)) and eventually[1,inf](il1β(t) > c(high))",,0.667310
"IL-1β, which was highly induced at later stages of infection (Figure 2), was initially repressed on the first day after infection.",1,raw,"globally[0,1](il1β(t) < c(low)) and eventually[1,inf](il1β(t) > c(high))",,0.667310
"IL-1β, which was highly induced at later stages of infection (Figure 2), was initially repressed on the first day after infection.",1,raw,"globally[0,1](il1β(t) < c(low)) and eventually[1,inf]globally(il1β(t) > c(high))",,0.660560
"IL-1β, which was highly induced at later stages of infection (Figure 2), was initially repressed on the first day after infection.",1,raw,"globally[0,1](il1β(t) < c(low)) and eventually[1,inf]globally(il1β(t) > c(high))",,0.660560
"IL-1β, which was highly induced at later stages of infection (Figure 2), was initially repressed on the first day after infection.",1,raw,"globally[0,1](il1β(t) < c(low)) and eventually[1,inf]globally(il1β(t) > c(high))",,0.660560
"IL-1β, which was highly induced at later stages of infection (Figure 2), was initially repressed on the first day after infection.",1,consolidated,"globally[0,1](il1β(t) < c(mid))",1,0.669730
"IL-1β, which was highly induced at later stages of infection (Figure 2), was initially repressed on the first day after infection.",1,consolidated,"eventually[1,inf](il1β(t) > c(high))",1,0.721926
The initial innate immune response is restricted due to inhibition of the interferon (IFN) response and allows extensive virus replication and spread during a clinically silent latent period of 10–14 days.,0,raw,"globally[10,14](ifn(t) = c(low) and d_virus(t) = d_c(high))",,0.464589
The initial innate immune response is restricted due to inhibition of the interferon (IFN) response and allows extensive virus replication and spread during a clinically silent latent period of 10–14 days.,0,raw,"globally[0,14](ifn(t) < c(low) and d_virus(t) > d_c(high))",,0.454511
The initial innate immune response is restricted due to inhibition of the interferon (IFN) response and allows extensive virus replication and spread during a clinically silent latent period of 10–14 days.,0,raw,"globally[10,14](ifn(t) < c(low) and d_virus(t) > d_c(high))",,0.463286
The initial innate immune response is restricted due to inhibition of the interferon (IFN) response and allows extensive virus replication and spread during a clinically silent latent period of 10–14 days.,0,raw,"globally[10,14](ifn(t) < c(low) and d_virus(t) > d_c(high))",,0.463286
The initial innate immune response is restricted due to inhibition of the interferon (IFN) response and allows extensive virus replication and spread during a clinically silent latent period of 10–14 days.,0,raw,"globally[10,14](ifn(t) < c(low) and d_virus(t) > d_c(high))",,0.463286
The initial innate immune response is restricted due to inhibition of the interferon (IFN) response and allows extensive virus replication and spread during a clinically silent latent period of 10–14 days.,0,raw,"globally[10,14](ifn(t) < c(low) and d_virus(t) > d_c(high))",,0.463286
The initial innate immune response is restricted due to inhibition of the interferon (IFN) response and allows extensive virus replication and spread during a clinically silent latent period of 10–14 days.,0,raw,"globally[0,14](ifn(t) < c(low) and d_virus(t) > d_c(high))",,0.454511
The initial innate immune response is restricted due to inhibition of the interferon (IFN) response and allows extensive virus replication and spread during a clinically silent latent period of 10–14 days.,0,raw,"globally[0,14](ifn(t) = c(low) and d_virus(t) = d_c(high))",,0.456556
The initial innate immune response is restricted due to inhibition of the interferon (IFN) response and allows extensive virus replication and spread during a clinically silent latent period of 10–14 days.,0,raw,"globally[10,14](ifn(t) < c(low) and d_virus(t) > d_c(high))",,0.463286
The initial innate immune response is restricted due to inhibition of the interferon (IFN) response and allows extensive virus replication and spread during a clinically silent latent period of 10–14 days.,0,raw,"globally[10,14](ifn(t) < c(low) and d_virus(t) > d_c(high))",,0.463286
The initial innate immune response is restricted due to inhibition of the interferon (IFN) response and allows extensive virus replication and spread during a clinically silent latent period of 10–14 days.,0,consolidated,"globally[10,14](ifn(t) = c(low) and d_virus(t) = d_c(high))",1,0.464589
The initial innate immune response is restricted due to inhibition of the interferon (IFN) response and allows extensive virus replication and spread during a clinically silent latent period of 10–14 days.,0,consolidated,"globally[10,14](ifn(t) < c(low) and d_virus(t) > d_c(high))",1,0.463286
"After an initial peak at 7–10 days (during the viremia when infectious virus can be recovered), there is a period of rapid decline coincident with clearance of infectious virus (10–14 days), followed by a rebound with up to a 10-fold increase in RNA levels (14–24 days) and then a slow decline (24–60 days) to an undetectable level.",0,raw,"eventually[7,10](virus(t) = c(high)) and globally[10,14](d_virus(t) < -d_c(high)) and eventually[14,24](d_virus(t) > d_c(high)) and globally[24,60](d_virus(t) < -d_c(low)) and eventually[60,60](virus(t) = c(low))",,0.695914
"After an initial peak at 7–10 days (during the viremia when infectious virus can be recovered), there is a period of rapid decline coincident with clearance of infectious virus (10–14 days), followed by a rebound with up to a 10-fold increase in RNA levels (14–24 days) and then a slow decline (24–60 days) to an undetectable level.",0,raw,"globally[7,10](d_virus(t) = 0) and globally[10,14](d_virus(t) < -d_c(high)) and eventually[14,24](d_virus(t) > d_c(high) and virus(t) > virus(14)) and eventually[24,60](d_virus(t) < -d_c(low) and virus(t) < c(low))",,0.655699
"After an initial peak at 7–10 days (during the viremia when infectious virus can be recovered), there is a period of rapid decline coincident with clearance of infectious virus (10–14 days), followed by a rebound with up to a 10-fold increase in RNA levels (14–24 days) and then a slow decline (24–60 days) to an undetectable level.",0,raw,"eventually[7,10](d_virus(t) = 0) and globally[10,14](d_virus(t) < -d_c(high)) and eventually[14,24](d_virus(t) > d_c(high)) and globally[24,60](d_virus(t) = -d_c(low)) and eventually[60,inf]globally(virus(t) = c(low))",,0.682109
"After an initial peak at 7–10 days (during the viremia when infectious virus can be recovered), there is a period of rapid decline coincident with clearance of infectious virus (10–14 days), followed by a rebound with up to a 10-fold increase in RNA levels (14–24 days) and then a slow decline (24–60 days) to an undetectable level.",0,consolidated,"eventually[7,10](virus(t) = c(high))",1,0.635308
"After an initial peak at 7–10 days (during the viremia when infectious virus can be recovered), there is a period of rapid decline coincident with clearance of infectious virus (10–14 days), followed by a rebound with up to a 10-fold increase in RNA levels (14–24 days) and then a slow decline (24–60 days) to an undetectable level.",0,consolidated,"eventually[60,60](virus(t) = c(low))",1,0.658268
"After an initial peak at 7–10 days (during the viremia when infectious virus can be recovered), there is a period of rapid decline coincident with clearance of infectious virus (10–14 days), followed by a rebound with up to a 10-fold increase in RNA levels (14–24 days) and then a slow decline (24–60 days) to an undetectable level.",0,consolidated,"globally[10,14](d_virus(t) < -d_c(high))",1,0.663812
"After an initial peak at 7–10 days (during the viremia when infectious virus can be recovered), there is a period of rapid decline coincident with clearance of infectious virus (10–14 days), followed by a rebound with up to a 10-fold increase in RNA levels (14–24 days) and then a slow decline (24–60 days) to an undetectable level.",0,consolidated,"eventually[14,24](d_virus(t) > d_c(high))",1,0.637927
"After an initial peak at 7–10 days (during the viremia when infectious virus can be recovered), there is a period of rapid decline coincident with clearance of infectious virus (10–14 days), followed by a rebound with up to a 10-fold increase in RNA levels (14–24 days) and then a slow decline (24–60 days) to an undetectable level.",0,consolidated,"globally[24,60](d_virus(t) < -d_c(low))",1,0.673167
We have previously shown that EBOV-specific IgG starts to emerge 3±4 weeks after initial exposure and reaches moderate titres 1 month later.,2,raw,"eventually[21,49](d_igg(t) > d_c(low)) and eventually[51,69](igg(t) = c(mid))",,0.502969
We have previously shown that EBOV-specific IgG starts to emerge 3±4 weeks after initial exposure and reaches moderate titres 1 month later.,2,raw,"eventually[21,49](d_igg(t) > 0) and eventually[51,79](igg(t) = c(mid))",,0.535803
We have previously shown that EBOV-specific IgG starts to emerge 3±4 weeks after initial exposure and reaches moderate titres 1 month later.,2,raw,"eventually[21,49](d_igg(t) > 0) and eventually[51,79](igg(t) = c(mid))",,0.535803
We have previously shown that EBOV-specific IgG starts to emerge 3±4 weeks after initial exposure and reaches moderate titres 1 month later.,2,raw,"eventually[21,49](d_igg(t) > d_c(low)) and eventually[51,79](igg(t) = c(mid))",,0.506873
We have previously shown that EBOV-specific IgG starts to emerge 3±4 weeks after initial exposure and reaches moderate titres 1 month later.,2,raw,"eventually[21,49](d_igg(t) > d_c(low)) and eventually[49,77](igg(t) = c(mid))",,0.503244
We have previously shown that EBOV-specific IgG starts to emerge 3±4 weeks after initial exposure and reaches moderate titres 1 month later.,2,raw,"eventually[21,49](d_igg(t) > 0) and eventually[49,77](igg(t) = c(mid))",,0.530001
We have previously shown that EBOV-specific IgG starts to emerge 3±4 weeks after initial exposure and reaches moderate titres 1 month later.,2,raw,"eventually[21,49](d_igg(t) > d_c(low)) and eventually[49,77](igg(t) = c(mid))",,0.503244
We have previously shown that EBOV-specific IgG starts to emerge 3±4 weeks after initial exposure and reaches moderate titres 1 month later.,2,raw,"eventually[21,49](d_igg(t) > d_c(low)) and eventually[49,77](igg(t) = c(mid))",,0.503244
We have previously shown that EBOV-specific IgG starts to emerge 3±4 weeks after initial exposure and reaches moderate titres 1 month later.,2,raw,"eventually[21,49](d_igg(t) > 0) and eventually[51,79](igg(t) = c(mid))",,0.535803
We have previously shown that EBOV-specific IgG starts to emerge 3±4 weeks after initial exposure and reaches moderate titres 1 month later.,2,raw,"eventually[21,49](d_igg(t) > 0) and eventually[51,79](igg(t) = c(mid))",,0.535803
We have previously shown that EBOV-specific IgG starts to emerge 3±4 weeks after initial exposure and reaches moderate titres 1 month later.,2,raw,"eventually[21,28](d_igg(t) > 0) and eventually[51,58](igg(t) = c(mid))",,0.533617
We have previously shown that EBOV-specific IgG starts to emerge 3±4 weeks after initial exposure and reaches moderate titres 1 month later.,2,raw,"eventually[21,28](d_igg(t) > d_c(low)) and eventually[51,58](igg(t) = c(mid))",,0.504678
We have previously shown that EBOV-specific IgG starts to emerge 3±4 weeks after initial exposure and reaches moderate titres 1 month later.,2,consolidated,"eventually[21,49](d_igg(t) > 0)",1,0.545849
We have previously shown that EBOV-specific IgG starts to emerge 3±4 weeks after initial exposure and reaches moderate titres 1 month later.,2,consolidated,"eventually[51,79](igg(t) = c(mid))",0,0.466176
"Expression of IFNγ mRNA increased at the same time as the other cytokines (i.e. 9 days after initial exposure), but only declined in the final samples (more than 3 weeks after initial exposure) (Fig. 4a).",2,raw,"eventually[9,9](d_ifnγ(t) > 0) and globally[21,inf](d_ifnγ(t) < 0)",,0.510429
"Expression of IFNγ mRNA increased at the same time as the other cytokines (i.e. 9 days after initial exposure), but only declined in the final samples (more than 3 weeks after initial exposure) (Fig. 4a).",2,raw,"eventually[9,9](d_ifnγ(t) > 0) and globally[21,inf](d_ifnγ(t) < 0)",,0.510429
"Expression of IFNγ mRNA increased at the same time as the other cytokines (i.e. 9 days after initial exposure), but only declined in the final samples (more than 3 weeks after initial exposure) (Fig. 4a).",2,raw,"eventually[9,9](d_ifnγ(t) > d_c(high)) and globally[21,inf](d_ifnγ(t) < -d_c(low))",,0.528955
"Expression of IFNγ mRNA increased at the same time as the other cytokines (i.e. 9 days after initial exposure), but only declined in the final samples (more than 3 weeks after initial exposure) (Fig. 4a).",2,raw,"globally[9,9](d_ifnγ(t) > 0) and eventually[21,inf]globally(d_ifnγ(t) < 0)",,0.511394
"Expression of IFNγ mRNA increased at the same time as the other cytokines (i.e. 9 days after initial exposure), but only declined in the final samples (more than 3 weeks after initial exposure) (Fig. 4a).",2,raw,"eventually[9,9](d_ifnγ(t) > 0) and globally[9,21](d_ifnγ(t) = 0) and eventually[21,inf](d_ifnγ(t) < 0)",,0.516972
