sentence,stl_formula,filtered_label,consolidated_label,changed_from_0_to_1
"After an initial peak at 7–10 days (during the viremia when infectious virus can be recovered), there is a period of rapid decline coincident with clearance of infectious virus (10–14 days), followed by a rebound with up to a 10-fold increase in RNA levels (14–24 days) and then a slow decline (24–60 days) to an undetectable level.","eventually[7,10](virus(t) > c(mid)) and globally[10,14](d_virus(t) < -d_c(high)) and eventually[14,24](virus(t) > c(high)) and globally[24,60](d_virus(t) < -d_c(low)) and eventually[60,inf](virus(t) = c(low))",1,0,0
"After an initial peak at 7–10 days (during the viremia when infectious virus can be recovered), there is a period of rapid decline coincident with clearance of infectious virus (10–14 days), followed by a rebound with up to a 10-fold increase in RNA levels (14–24 days) and then a slow decline (24–60 days) to an undetectable level.","eventually[7,10](virus(t) > c(high)) and globally[10,14](d_virus(t) < -d_c(high)) and eventually[14,24](virus(t) > c(mid)) and globally[24,60](d_virus(t) < -d_c(low))",1,0,0
"After an initial peak at 7–10 days (during the viremia when infectious virus can be recovered), there is a period of rapid decline coincident with clearance of infectious virus (10–14 days), followed by a rebound with up to a 10-fold increase in RNA levels (14–24 days) and then a slow decline (24–60 days) to an undetectable level.","globally[24,60](d_virus(t) < -d_c(low))",0,1,1
"After an initial peak at 7–10 days (during the viremia when infectious virus can be recovered), there is a period of rapid decline coincident with clearance of infectious virus (10–14 days), followed by a rebound with up to a 10-fold increase in RNA levels (14–24 days) and then a slow decline (24–60 days) to an undetectable level.","eventually[7,10](virus(t) = c(high)) and globally[10,14](d_virus(t) < -d_c(high)) and eventually[14,24](virus(t) > c(high)) and globally[24,60](d_virus(t) < -d_c(low))",1,0,0
"After an initial peak at 7–10 days (during the viremia when infectious virus can be recovered), there is a period of rapid decline coincident with clearance of infectious virus (10–14 days), followed by a rebound with up to a 10-fold increase in RNA levels (14–24 days) and then a slow decline (24–60 days) to an undetectable level.","eventually[14,24](virus(t) > c(mid))",0,1,1
We have previously shown that EBOV-specific IgG starts to emerge 3±4 weeks after initial exposure and reaches moderate titres 1 month later.,"eventually[21,28](igg(t) > c(low)) and globally[60,60](igg(t) = c(mid))",1,0,0
We have previously shown that EBOV-specific IgG starts to emerge 3±4 weeks after initial exposure and reaches moderate titres 1 month later.,"eventually[21,28](d_igg(t) > 0) and eventually[30,30](igg(t) = c(mid))",1,0,0
We have previously shown that EBOV-specific IgG starts to emerge 3±4 weeks after initial exposure and reaches moderate titres 1 month later.,"eventually[30,31](igg(t) = c(mid))",0,1,1
We have previously shown that EBOV-specific IgG starts to emerge 3±4 weeks after initial exposure and reaches moderate titres 1 month later.,"eventually[21,28](d_igg(t) > d_c(low)) and eventually[30,31](igg(t) = c(mid))",1,0,0
We have previously shown that EBOV-specific IgG starts to emerge 3±4 weeks after initial exposure and reaches moderate titres 1 month later.,"eventually[21,28](igg(t) > c(low)) and globally[28,58](igg(t) = c(mid))",0,0,0
We have previously shown that EBOV-specific IgG starts to emerge 3±4 weeks after initial exposure and reaches moderate titres 1 month later.,"eventually[21,28](igg(t) > c(low))",0,1,1
We have previously shown that EBOV-specific IgG starts to emerge 3±4 weeks after initial exposure and reaches moderate titres 1 month later.,"eventually[47,61](igg(t)=c(mid))",0,0,0
We have previously shown that EBOV-specific IgG starts to emerge 3±4 weeks after initial exposure and reaches moderate titres 1 month later.,"eventually[17,31](d_igg(t)=d_c(low))",0,0,0
We have previously shown that EBOV-specific IgG starts to emerge 3±4 weeks after initial exposure and reaches moderate titres 1 month later.,"eventually[21,28](d_igg(t) > 0)",0,1,1
We have previously shown that EBOV-specific IgG starts to emerge 3±4 weeks after initial exposure and reaches moderate titres 1 month later.,"eventually[17,31](d_igg(t)=d_c(low)) and eventually[47,61](igg(t)=c(mid))",0,0,0
"The IL-1 receptor antagonist (IL-1RA) and the two soluble TNF receptors (sTNFRI and sTNFRII) were found at moderate to high concentrations (3±7 ng/ml IL-1RA versus 1¥6 ng/ml in 10 endemic controls; 1¥3±2¥6 ng/ml sTNFRI versus 1¥8 ng/ml; 3¥5± 7 ng/ml sTNFRII versus 5 ng/ml) 7 days after initial exposure. Values fell two days later to normal endemic control levels, simultaneously with the fall in pro-inflammatory cytokines.","globally[7,9](il1ra(t) > c(mid) and stnfri(t) > c(mid)) and eventually[9,inf]globally(il1ra(t) < c(mid) and stnfri(t) < c(mid))",1,0,0
"The IL-1 receptor antagonist (IL-1RA) and the two soluble TNF receptors (sTNFRI and sTNFRII) were found at moderate to high concentrations (3±7 ng/ml IL-1RA versus 1¥6 ng/ml in 10 endemic controls; 1¥3±2¥6 ng/ml sTNFRI versus 1¥8 ng/ml; 3¥5± 7 ng/ml sTNFRII versus 5 ng/ml) 7 days after initial exposure. Values fell two days later to normal endemic control levels, simultaneously with the fall in pro-inflammatory cytokines.","globally[7,7](il1ra(t) > c(mid) and stnfri(t) > c(mid))",0,1,1
"The IL-1 receptor antagonist (IL-1RA) and the two soluble TNF receptors (sTNFRI and sTNFRII) were found at moderate to high concentrations (3±7 ng/ml IL-1RA versus 1¥6 ng/ml in 10 endemic controls; 1¥3±2¥6 ng/ml sTNFRI versus 1¥8 ng/ml; 3¥5± 7 ng/ml sTNFRII versus 5 ng/ml) 7 days after initial exposure. Values fell two days later to normal endemic control levels, simultaneously with the fall in pro-inflammatory cytokines.","globally[7,7](il1ra(t) > c(mid) and stnfri(t) > c(mid)) and eventually[9,9](il1ra(t) = c(low) and stnfri(t) = c(low)) and eventually[9,9](d_il1ra(t) < 0 and d_stnfri(t) < 0)",1,0,0
"The IL-1 receptor antagonist (IL-1RA) and the two soluble TNF receptors (sTNFRI and sTNFRII) were found at moderate to high concentrations (3±7 ng/ml IL-1RA versus 1¥6 ng/ml in 10 endemic controls; 1¥3±2¥6 ng/ml sTNFRI versus 1¥8 ng/ml; 3¥5± 7 ng/ml sTNFRII versus 5 ng/ml) 7 days after initial exposure. Values fell two days later to normal endemic control levels, simultaneously with the fall in pro-inflammatory cytokines.","globally[7,7](il1ra(t) > c(mid) and stnfri(t) > c(mid)) and eventually[9,9](il1ra(t) = c(low) and stnfri(t) = c(low))",1,0,0
"The IL-1 receptor antagonist (IL-1RA) and the two soluble TNF receptors (sTNFRI and sTNFRII) were found at moderate to high concentrations (3±7 ng/ml IL-1RA versus 1¥6 ng/ml in 10 endemic controls; 1¥3±2¥6 ng/ml sTNFRI versus 1¥8 ng/ml; 3¥5± 7 ng/ml sTNFRII versus 5 ng/ml) 7 days after initial exposure. Values fell two days later to normal endemic control levels, simultaneously with the fall in pro-inflammatory cytokines.","eventually[9,9](d_il1ra(t) < 0 and d_stnfri(t) < 0)",0,1,1
"The IL-1 receptor antagonist (IL-1RA) and the two soluble TNF receptors (sTNFRI and sTNFRII) were found at moderate to high concentrations (3±7 ng/ml IL-1RA versus 1¥6 ng/ml in 10 endemic controls; 1¥3±2¥6 ng/ml sTNFRI versus 1¥8 ng/ml; 3¥5± 7 ng/ml sTNFRII versus 5 ng/ml) 7 days after initial exposure. Values fell two days later to normal endemic control levels, simultaneously with the fall in pro-inflammatory cytokines.","eventually[9,9](il1ra(t) = c(low) and stnfri(t) = c(low))",0,1,1
"The IL-1 receptor antagonist (IL-1RA) and the two soluble TNF receptors (sTNFRI and sTNFRII) were found at moderate to high concentrations (3±7 ng/ml IL-1RA versus 1¥6 ng/ml in 10 endemic controls; 1¥3±2¥6 ng/ml sTNFRI versus 1¥8 ng/ml; 3¥5± 7 ng/ml sTNFRII versus 5 ng/ml) 7 days after initial exposure. Values fell two days later to normal endemic control levels, simultaneously with the fall in pro-inflammatory cytokines.","eventually[9,inf]globally(il1ra(t) < c(mid) and stnfri(t) < c(mid))",0,1,1
"Expression of IFNγ mRNA increased at the same time as the other cytokines (i.e. 9 days after initial exposure), but only declined in the final samples (more than 3 weeks after initial exposure) (Fig. 4a).","eventually[9,21](d_ifnγ(t) > d_c(low))",0,0,0
"Expression of IFNγ mRNA increased at the same time as the other cytokines (i.e. 9 days after initial exposure), but only declined in the final samples (more than 3 weeks after initial exposure) (Fig. 4a).","eventually[9,21](d_ifnγ(t) > d_c(low)) and eventually[21,inf](d_ifnγ(t) < -d_c(low))",0,0,0
"Expression of IFNγ mRNA increased at the same time as the other cytokines (i.e. 9 days after initial exposure), but only declined in the final samples (more than 3 weeks after initial exposure) (Fig. 4a).","eventually[9,10](d_ifnγ(t) > d_c(low)) and eventually[21,inf](d_ifnγ(t) < -d_c(low))",1,0,0
"Expression of IFNγ mRNA increased at the same time as the other cytokines (i.e. 9 days after initial exposure), but only declined in the final samples (more than 3 weeks after initial exposure) (Fig. 4a).","eventually[21,inf](d_ifnγ(t) < -d_c(low))",0,1,1
"We therefore first investigated B-cell dynamics via staining CD19, CD24 and CD38 (Fig. 4a) and observed a peak in the number of plasmablasts (CD19+ CD24− CD38+) at day 7 (Fig. 4b).","eventually[0,7](bcells(t) = c(high))",0,0,0
"We therefore first investigated B-cell dynamics via staining CD19, CD24 and CD38 (Fig. 4a) and observed a peak in the number of plasmablasts (CD19+ CD24− CD38+) at day 7 (Fig. 4b).","cd19(t)=c(high) and cd24(t)=c(low) and cd38(t)=c(high) and eventually[7,7](bcells(t)=c(high))",0,0,0
"We therefore first investigated B-cell dynamics via staining CD19, CD24 and CD38 (Fig. 4a) and observed a peak in the number of plasmablasts (CD19+ CD24− CD38+) at day 7 (Fig. 4b).",cd19(t)=c(high),0,0,0
"We therefore first investigated B-cell dynamics via staining CD19, CD24 and CD38 (Fig. 4a) and observed a peak in the number of plasmablasts (CD19+ CD24− CD38+) at day 7 (Fig. 4b).","eventually[0,7](bcells(t) > c(high))",0,0,0
"We therefore first investigated B-cell dynamics via staining CD19, CD24 and CD38 (Fig. 4a) and observed a peak in the number of plasmablasts (CD19+ CD24− CD38+) at day 7 (Fig. 4b).",cd38(t)=c(high),0,0,0
"We therefore first investigated B-cell dynamics via staining CD19, CD24 and CD38 (Fig. 4a) and observed a peak in the number of plasmablasts (CD19+ CD24− CD38+) at day 7 (Fig. 4b).",cd24(t)=c(low),0,0,0
"In line with the cytokine responses, expression of CD107a by CD8+ T cells was increased at day 56 post vaccination in the highest dose cohort following stimulation with Ebola GP OLP-pools (Fig. 6a).","eventually[56,56](d_cd107a(t) > d_c(high))",1,0,0
"In line with the cytokine responses, expression of CD107a by CD8+ T cells was increased at day 56 post vaccination in the highest dose cohort following stimulation with Ebola GP OLP-pools (Fig. 6a).","eventually[56,56](d_cd107a(t) > 0)",1,1,0
"In line with the cytokine responses, expression of CD107a by CD8+ T cells was increased at day 56 post vaccination in the highest dose cohort following stimulation with Ebola GP OLP-pools (Fig. 6a).","eventually[56,56]globally(d_cd107a(t) > 0)",1,0,0
"In line with the cytokine responses, expression of CD107a by CD8+ T cells was increased at day 56 post vaccination in the highest dose cohort following stimulation with Ebola GP OLP-pools (Fig. 6a).","eventually[56,inf](d_cd107a(t) > d_c(low))",0,0,0
"In line with the cytokine responses, expression of CD107a by CD8+ T cells was increased at day 56 post vaccination in the highest dose cohort following stimulation with Ebola GP OLP-pools (Fig. 6a).",d_cd107a(t) > 0,0,0,0
"In following up of viremia, there was no viral RNA detected in the plasma of group A and group B animals on day 2, while on day 3 viral RNA loads were measurable in almost all assayed animals and increased thereafter.","eventually[3,inf](virus(t) > c(low) and d_virus(t) > 0)",0,1,1
"In following up of viremia, there was no viral RNA detected in the plasma of group A and group B animals on day 2, while on day 3 viral RNA loads were measurable in almost all assayed animals and increased thereafter.","globally[2,2](virus(t) < c(low)) and eventually[3,inf](virus(t) > c(low) and d_virus(t) > 0)",1,0,0
"In following up of viremia, there was no viral RNA detected in the plasma of group A and group B animals on day 2, while on day 3 viral RNA loads were measurable in almost all assayed animals and increased thereafter.","globally[2,2](virus(t) < c(low))",0,1,1
"In following up of viremia, there was no viral RNA detected in the plasma of group A and group B animals on day 2, while on day 3 viral RNA loads were measurable in almost all assayed animals and increased thereafter.","globally[2,2](virus(t) < c(low)) and eventually[3,inf](virus(t) > c(mid))",1,0,0
"In following up of viremia, there was no viral RNA detected in the plasma of group A and group B animals on day 2, while on day 3 viral RNA loads were measurable in almost all assayed animals and increased thereafter.","eventually[3,inf](virus(t) > c(mid))",0,1,1
"In group A that underwent CSF sampling, on the other hand, viral RNA was detected in the CSF by days 4 and 5 postinfection with dramatic increases seen in some animals by day 7.","eventually[6,7](d_virus(t) = d_c(high))",0,1,1
"In group A that underwent CSF sampling, on the other hand, viral RNA was detected in the CSF by days 4 and 5 postinfection with dramatic increases seen in some animals by day 7.","eventually[4,5](virus(t) > c(low))",0,1,1
"In group A that underwent CSF sampling, on the other hand, viral RNA was detected in the CSF by days 4 and 5 postinfection with dramatic increases seen in some animals by day 7.","eventually[4,5](virus(t) > c(low)) and eventually[4,7](d_virus(t) > d_c(high))",1,0,0
"In group A that underwent CSF sampling, on the other hand, viral RNA was detected in the CSF by days 4 and 5 postinfection with dramatic increases seen in some animals by day 7.","eventually[4,5](virus(t) > c(low)) and eventually[7,7](d_virus(t) > d_c(high))",1,0,0
"In group A that underwent CSF sampling, on the other hand, viral RNA was detected in the CSF by days 4 and 5 postinfection with dramatic increases seen in some animals by day 7.","eventually[4,5](virus(t) > c(low)) and eventually[7,7](d_virus(t) = d_c(high))",1,0,0
"In group A that underwent CSF sampling, on the other hand, viral RNA was detected in the CSF by days 4 and 5 postinfection with dramatic increases seen in some animals by day 7.","eventually[4,5](virus(t) > c(low)) and eventually[6,7](d_virus(t) = d_c(high))",1,0,0
"In group A that underwent CSF sampling, on the other hand, viral RNA was detected in the CSF by days 4 and 5 postinfection with dramatic increases seen in some animals by day 7.","eventually[4,7](d_virus(t) > d_c(high))",0,1,1
"Plasma cytokines levels, reflecting both pro-inflammatory as well as anti-inflammatory systemic responses to the infection, increased gradually, with interleukin (IL)-10 and IL-6 beginning to increase on day 4.","eventually[4,inf](d_il10(t) > 0 and d_il6(t) > 0)",1,1,0
"Plasma cytokines levels, reflecting both pro-inflammatory as well as anti-inflammatory systemic responses to the infection, increased gradually, with interleukin (IL)-10 and IL-6 beginning to increase on day 4.","globally[4,inf](d_il10(t) > 0 and d_il6(t) > 0)",1,0,0
"IL-8 and tumor necrosis factor alpha (TNF-α), on the other hand, began increasing on day 6, while GM-CSF and IL-2 began increasing on day 7.","eventually[6,inf]globally(d_il8(t) > 0 and d_tnfα(t) > 0) and eventually[7,inf]globally(d_gmcsf(t) > 0 and d_il2(t) > 0)",1,0,0
"IL-8 and tumor necrosis factor alpha (TNF-α), on the other hand, began increasing on day 6, while GM-CSF and IL-2 began increasing on day 7.","eventually[6,inf](d_il8(t) > 0 and d_tnfα(t) > 0) and eventually[7,inf](d_gmcsf(t) > 0 and d_il2(t) > 0)",1,0,0
"IL-8 and tumor necrosis factor alpha (TNF-α), on the other hand, began increasing on day 6, while GM-CSF and IL-2 began increasing on day 7.","eventually[7,inf](d_gmcsf(t) > 0 and d_il2(t) > 0)",0,1,1
"IL-8 and tumor necrosis factor alpha (TNF-α), on the other hand, began increasing on day 6, while GM-CSF and IL-2 began increasing on day 7.","eventually[6,inf](d_il8(t) > 0 and d_tnfα(t) > 0)",0,1,1
"In the CSF, levels of MCP-1, IL1Ra, IL-2, G-CSF, and IL-18 started increasing on day 5 postinfection.","globally[5,inf](d_mcp1(t) > 0 and d_il1ra(t) > 0)",1,1,0
"Increases in IL-15, IL-1β, IL-6, and TNF-α levels were slightly more delayed in the CSF, beginning closer to day 6 postinfection.","eventually[6,inf](d_il15(t) > 0 and d_il1β(t) > 0)",1,1,0
Levels of IFN-γ were not appreciably elevated.,ifnγ(t) < c(mid),1,1,0
"In the infected animals, on the other hand, we identified extravascular albumin staining, which increased between day 4 and day 6/7, both qualitatively (Fig. 4a, b) and quantitatively (Fig. 4c).","eventually[4,7](d_albumin(t) > 0)",1,1,0
"In the infected animals, on the other hand, we identified extravascular albumin staining, which increased between day 4 and day 6/7, both qualitatively (Fig. 4a, b) and quantitatively (Fig. 4c).","eventually[4,6](d_albumin(t) > 0)",1,0,0
"Quantitatively, higher staining for VP40 (EBOV antigen) was noted in the infected animals compared to the control animal, in the thalamus and in the midbrain, increasing further on day 6/7 compared to day 4.","vp40(t) > c(high) and eventually[4,6](d_vp40(t) > d_c(low))",0,0,0
"Quantitatively, higher staining for VP40 (EBOV antigen) was noted in the infected animals compared to the control animal, in the thalamus and in the midbrain, increasing further on day 6/7 compared to day 4.","eventually[4,7](d_vp40(t) > d_c(low))",0,1,1
"Quantitatively, higher staining for VP40 (EBOV antigen) was noted in the infected animals compared to the control animal, in the thalamus and in the midbrain, increasing further on day 6/7 compared to day 4.",vp40(t) > c(low),0,1,1
"Quantitatively, higher staining for VP40 (EBOV antigen) was noted in the infected animals compared to the control animal, in the thalamus and in the midbrain, increasing further on day 6/7 compared to day 4.","vp40(t) > c(low) and eventually[4,7](d_vp40(t) > d_c(low))",1,0,0
"At the same time, the expression of GLUT3, a neuronal glucose transporter46, was seen both in the thalamus and in the midbrain, increasing further on day 6/7 compared to day 4 (Fig. 5a, b).","eventually[4,7](d_glut3(t) > 0)",1,1,0
"Many of those stained positively for CC3/PARP1, consistent with apoptosis, starting on day 4 post inoculation, and progressing over time (Figs. 5 and 6).","eventually[4,inf]globally(cc3(t) > c(low))",0,1,1
"Many of those stained positively for CC3/PARP1, consistent with apoptosis, starting on day 4 post inoculation, and progressing over time (Figs. 5 and 6).","eventually[4,inf]globally(cc3(t) > c(mid))",1,0,0
"Many of those stained positively for CC3/PARP1, consistent with apoptosis, starting on day 4 post inoculation, and progressing over time (Figs. 5 and 6).","eventually[4,inf]globally(cc3(t) > c(low)) and d_cc3(t) > d_c(low)",0,0,0
"Many of those stained positively for CC3/PARP1, consistent with apoptosis, starting on day 4 post inoculation, and progressing over time (Figs. 5 and 6).","eventually[4,inf](d_cc3(t) > 0)",1,1,0
"Many of those stained positively for CC3/PARP1, consistent with apoptosis, starting on day 4 post inoculation, and progressing over time (Figs. 5 and 6).","eventually[4,inf]globally(d_cc3(t) > 0)",1,0,0
"Therefore, we analyzed control and TIM-1-/- organs following EBOV GPΔO/rVSV infection for the chemokines, CXCL10 (IP-10) and CCL2 (MCP-1). At least one of the two transcripts for these proinflammatory chemokines in all three organs was elevated in the control mice at both day 3 and/or 5 of infection compared to the TIM-1-/- mouse tissues (Fig 4).","eventually[3,5](ip10(t) > c(mid) and mcp(t) > c(mid))",1,1,0
"However, by day 5 of EBOV GPΔO/rVSV infection, TIM-1-/- mice had a 100-fold reduction in viremia compared to control mice (Fig 2) and a similar trend was observed during infections with full length EBOV GP/rVSV (S3 Fig).","eventually[0,5](virus(t) < c(low))",1,1,0
"However, by day 5 of EBOV GPΔO/rVSV infection, TIM-1-/- mice had a 100-fold reduction in viremia compared to control mice (Fig 2) and a similar trend was observed during infections with full length EBOV GP/rVSV (S3 Fig).","eventually[5,5](virus(t) < c(low))",1,0,0
"Ebola survivors need 158 days to clear the virus, and Ebola fatalities result when the individual cannot clear the virus before death (17).","eventually[0,158]globally(virus(t) < c(low)) and globally[0,17](virus(t) > c(low))",0,0,0
"Ebola survivors need 158 days to clear the virus, and Ebola fatalities result when the individual cannot clear the virus before death (17).","globally[0,17](virus(t)>c(low))",0,0,0
"Ebola survivors need 158 days to clear the virus, and Ebola fatalities result when the individual cannot clear the virus before death (17).","globally[0,17](virus(t)>c(high)) implies eventually[0,17](virus(t)=c(low))",0,0,0
"Ebola survivors need 158 days to clear the virus, and Ebola fatalities result when the individual cannot clear the virus before death (17).","eventually[0,158](virus(t)=c(low)) and globally[0,17](virus(t)>c(low))",0,0,0
"Ebola survivors need 158 days to clear the virus, and Ebola fatalities result when the individual cannot clear the virus before death (17).","eventually[0,158](virus(t)=c(low))",0,1,1
"Ebola survivors need 158 days to clear the virus, and Ebola fatalities result when the individual cannot clear the virus before death (17).","eventually[0,158](virus(t) = c(low)) implies globally[0,inf](virus(t) > c(low))",0,0,0
"Ebola survivors need 158 days to clear the virus, and Ebola fatalities result when the individual cannot clear the virus before death (17).","globally[0,158](virus(t)=c(low)) and globally[0,17](virus(t)>c(high)) implies eventually[0,17](virus(t)=c(low))",0,0,0
"Ebola survivors need 158 days to clear the virus, and Ebola fatalities result when the individual cannot clear the virus before death (17).","eventually[0,158]globally(virus(t) < c(low))",0,1,1
Patients with primary dengue hemorrhagic fever need a long time (far more than 12 days) to clear the viral protein NS1 (18).,"eventually[12,inf](d_ns1(t) < -d_c(low))",1,1,0
Patients with primary dengue hemorrhagic fever need a long time (far more than 12 days) to clear the viral protein NS1 (18).,"globally[0,12](d_ns1(t) > -d_c(high))",0,0,0
Patients with primary dengue hemorrhagic fever need a long time (far more than 12 days) to clear the viral protein NS1 (18).,"globally[0,12](ns1(t) > c(mid))",1,1,0
Patients with primary dengue hemorrhagic fever need a long time (far more than 12 days) to clear the viral protein NS1 (18).,"eventually[12,inf](ns1(t) = c(low))",1,1,0
"85% of HCV patients cannot clear the virus within 9 months (15% of patients cleared HCV spontaneously within 108 days) (19, 20).","globally[0,270](virus(t)=c(high)) and eventually[0,108](virus(t)=c(low))",1,0,0
"85% of HCV patients cannot clear the virus within 9 months (15% of patients cleared HCV spontaneously within 108 days) (19, 20).","globally[0,270](virus(t) > c(mid)) and eventually[0,108](virus(t) < c(mid))",1,0,0
"85% of HCV patients cannot clear the virus within 9 months (15% of patients cleared HCV spontaneously within 108 days) (19, 20).","eventually[0,108](virus(t) < c(mid))",0,1,1
"85% of HCV patients cannot clear the virus within 9 months (15% of patients cleared HCV spontaneously within 108 days) (19, 20).","globally[0,270](virus(t)>c(mid))",0,1,1
"85% of HCV patients cannot clear the virus within 9 months (15% of patients cleared HCV spontaneously within 108 days) (19, 20).","globally[0,270](virus(t) > c(mid)) and eventually[0,108](virus(t) < c(low))",1,0,0
"85% of HCV patients cannot clear the virus within 9 months (15% of patients cleared HCV spontaneously within 108 days) (19, 20).","globally[0,270](virus(t)>c(mid)) and eventually[0,108](virus(t)<c(low))",1,0,0
Viral RNA decreased slightly in the survivor between days 8 and 10 and was no longer detectable after day 12.,"eventually[12,inf]globally(virus(t) < c(low))",0,1,1
Viral RNA decreased slightly in the survivor between days 8 and 10 and was no longer detectable after day 12.,"globally[8,10](d_virus(t) < 0)",0,1,1
Viral RNA decreased slightly in the survivor between days 8 and 10 and was no longer detectable after day 12.,"eventually[8,10](d_virus(t) < -d_c(low))",0,1,1
Viral RNA decreased slightly in the survivor between days 8 and 10 and was no longer detectable after day 12.,"globally[8,10](d_virus(t) < -d_c(low)) and eventually[12,inf]globally(virus(t) < c(low))",1,0,0
Viral RNA decreased slightly in the survivor between days 8 and 10 and was no longer detectable after day 12.,"eventually[8,10](d_virus(t) < -d_c(low)) and globally[12,inf](virus(t) < c(low))",1,0,0
Viral RNA decreased slightly in the survivor between days 8 and 10 and was no longer detectable after day 12.,"eventually[8,10]globally(d_virus(t) < -d_c(low)) and eventually[12,inf]globally(virus(t) < c(low))",1,0,0
Viral RNA decreased slightly in the survivor between days 8 and 10 and was no longer detectable after day 12.,"globally[8,10](d_virus(t) < 0) and globally[12,inf](virus(t) < c(low))",1,0,0
"One animal, which succumbed on day 12, experienced a slight decrease in both ALT and AST on day 12 compared to day 10 post-infection.","globally[10,12](d_alt(t) < 0 and d_ast(t) < 0)",1,0,0
"One animal, which succumbed on day 12, experienced a slight decrease in both ALT and AST on day 12 compared to day 10 post-infection.","eventually[12,12](d_alt(t) < 0 and d_ast(t) < 0)",1,0,0
"One animal, which succumbed on day 12, experienced a slight decrease in both ALT and AST on day 12 compared to day 10 post-infection.","eventually[10,12](d_alt(t) < 0 and d_ast(t) < 0)",1,1,0
"The animal that survived challenge experienced peak ALKP on day 10, and levels were comparable to those of the animals that succumbed to infection.","globally[10,10](alkp(t) = c(high))",0,1,1
"The animal that survived challenge experienced peak ALKP on day 10, and levels were comparable to those of the animals that succumbed to infection.","alkp(t) = c(high) and globally[10,10](alkp(t) = c(high))",0,0,0
"The animal that survived challenge experienced peak ALKP on day 10, and levels were comparable to those of the animals that succumbed to infection.","globally[10,10](alkp(t) = c(high)) and alkp(t) = c(high)",0,0,0
"The animal that survived challenge experienced a 3.7-fold increase in triglycerides over baseline on day 10, which returned to baseline by day 14 (data not shown).","eventually[0,10](triglycerides(t) = c(high))",0,1,1
"The animal that survived challenge experienced a 3.7-fold increase in triglycerides over baseline on day 10, which returned to baseline by day 14 (data not shown).","eventually[10,14]globally(triglycerides(t) = c(mid))",0,1,1
"The animal that survived challenge experienced a 3.7-fold increase in triglycerides over baseline on day 10, which returned to baseline by day 14 (data not shown).","eventually[10,10](triglycerides(t) > c(high)) and eventually[14,14](triglycerides(t) = c(low))",1,0,0
"The animal that survived challenge experienced a 3.7-fold increase in triglycerides over baseline on day 10, which returned to baseline by day 14 (data not shown).","eventually[10,14](triglycerides(t) = c(low))",0,1,1
"The animal that survived challenge experienced a 3.7-fold increase in triglycerides over baseline on day 10, which returned to baseline by day 14 (data not shown).","eventually[0,10](triglycerides(t) > c(high)) and eventually[10,14](triglycerides(t) = c(low))",1,0,0
"The animal that survived challenge experienced a 3.7-fold increase in triglycerides over baseline on day 10, which returned to baseline by day 14 (data not shown).","eventually[0,10](triglycerides(t) > c(high))",0,1,1
"The animal that survived challenge experienced a 3.7-fold increase in triglycerides over baseline on day 10, which returned to baseline by day 14 (data not shown).","eventually[0,10](triglycerides(t) = c(high)) and eventually[10,14]globally(triglycerides(t) = c(mid))",1,0,0
"The animal that survived challenge experienced peak CRP levels on day 8, and levels were comparable to animals that did not survive challenge.","eventually[8,8](crp(t) = c(high))",1,0,0
"The animal that survived challenge experienced peak CRP levels on day 8, and levels were comparable to animals that did not survive challenge.","eventually[8,8](crp(t)=c(high) and crp(t)=c(high))",1,1,0
"Neither IL-10 nor IFN-γ were detected in the serum of the animal that survived challenge, on the days tested.","globally[0,inf](il10(t) < c(low) and ifnγ(t) < c(low))",1,1,0
"In most animals, an approximate two- to threefold decrease of CD3 +T-cells was observed, which began between days 3 and 5, reaching a nadir by day 8 (Fig. 7B).","eventually[3,5](d_tcells(t) < -d_c(high)) and eventually[3,8](tcells(t) < c(low))",1,0,0
"In most animals, an approximate two- to threefold decrease of CD3 +T-cells was observed, which began between days 3 and 5, reaching a nadir by day 8 (Fig. 7B).","eventually[3,8](d_tcells(t) < -d_c(low))",0,1,1
"In most animals, an approximate two- to threefold decrease of CD3 +T-cells was observed, which began between days 3 and 5, reaching a nadir by day 8 (Fig. 7B).","eventually[3,5]globally(d_tcells(t) < -d_c(low))",1,0,0
"In most animals, an approximate two- to threefold decrease of CD3 +T-cells was observed, which began between days 3 and 5, reaching a nadir by day 8 (Fig. 7B).","eventually[3,8](tcells(t) < c(low))",0,1,1
"As seen with CD3 + T-cells, a steady decline in CD20 + B-cells was observed beginning by days 3 and 5, with the largest decrease of approximately two to threefold noted by day 7 or 8.","eventually[7,8](d_bcells(t) < -d_c(high))",0,1,1
"As seen with CD3 + T-cells, a steady decline in CD20 + B-cells was observed beginning by days 3 and 5, with the largest decrease of approximately two to threefold noted by day 7 or 8.","eventually[3,5]globally(d_bcells(t) < -d_c(low)) and eventually[7,8](bcells(t) < c(low))",1,0,0
"As seen with CD3 + T-cells, a steady decline in CD20 + B-cells was observed beginning by days 3 and 5, with the largest decrease of approximately two to threefold noted by day 7 or 8.","eventually[7,8](bcells(t) < c(low))",0,1,1
"As seen with CD3 + T-cells, a steady decline in CD20 + B-cells was observed beginning by days 3 and 5, with the largest decrease of approximately two to threefold noted by day 7 or 8.","eventually[3,5]globally(d_bcells(t) < 0) and eventually[7,8](d_bcells(t) < -d_c(high))",1,0,0
